tag_id,asset_id,brand_name,tag_name,tag_type,confidence,detection_id,video_url,download_link,start_time_stamp,end_time_stamp,start_frame,end_frame,publication_date,title,description,views,comments,likes,shares,created_at,social_media,publication_year
01GPKJAGJ0FF1FB8H3R5QP5FQA,01GE2AVM8ZPPZ3WCTMEVT2YEPA,Living Proof US,Gen Z (10-25),FACE,0.888098,01GPKJAGJ0B67XBG15SERDQG7A,https://www.tiktok.com/@livingproofinc/video/7047901712547319045,j_l8kbvgtma8e10jk1q.c1adbffc1f20d6af576fad31898e0d37fdb7ba77.file_l8kc0kbi2imhqo4hst.S3_link_of_the_video.mp4,00:00:03,00:00:09,75,225,2021-12-31 16:18:13,livingproofinc,#NewYearsEve calls for major glam  say goodbye to 2021 and hello to 2022 with this curly #hairstyle! #livingproofinc #hairtok #curls #curlyhair,790,0,27,0,2022-09-27 15:13:31.614265,TikTok,2021
01GPKJAE9T1Y4P5BCRHT5PF718,01GE2AVM937MNFRBGZ5AQZYAN2,Living Proof US,Millennial (25-34),FACE,0.93017,01GPKJAE9JCD3HB6JEZ0J3KXJD,https://www.tiktok.com/@livingproofinc/video/7047172685654265093,j_l8kbvgtma8e10jk1q.ddb2f3316230c75fc65d4ee8a9d844c48959a699.file_l8kbzsnp1m9h3so0tz.S3_link_of_the_video.mp4,00:00:00,00:00:00,0,0,2021-12-29 17:09:13,livingproofinc,Living Proof is at @The Allure Store  in NYC!  Have you seen us?  come say hi + tag us! #livingproof #allure #theallurestore,498,1,19,0,2022-09-27 15:13:31.730704,TikTok,2021
01GPKJAE9VSGKNS5STM65A63NX,01GE2AVM937MNFRBGZ5AQZYAN2,Living Proof US,Gen Z (10-25),FACE,0.88505,01GPKJAE9VDRFFBQNWBH8BS00C,https://www.tiktok.com/@livingproofinc/video/7047172685654265093,j_l8kbvgtma8e10jk1q.ddb2f3316230c75fc65d4ee8a9d844c48959a699.file_l8kbzsnp1m9h3so0tz.S3_link_of_the_video.mp4,00:00:01,00:00:01,25,25,2021-12-29 17:09:13,livingproofinc,Living Proof is at @The Allure Store  in NYC!  Have you seen us?  come say hi + tag us! #livingproof #allure #theallurestore,498,1,19,0,2022-09-27 15:13:31.730704,TikTok,2021
01GPKJANE7E9YDE063ARVEJQM1,01GE2AVM9AFF89DAAX68TSZD33,Living Proof US,Gen Z (10-25),FACE,0.901033,01GPKJANE79G1AQED22V0WA045,https://www.tiktok.com/@livingproofinc/video/7044576346558811398,j_l8kbvgtma8e10jk1q.ee3fc45376c2920891ed89611c17c10e3817b6fd.file_l8kc06cyx4jfu7t6t.S3_link_of_the_video.mp4,00:00:00,00:00:01,0,25,2021-12-22 17:14:06,livingproofinc,Last minute gift idea   our Joy to Healthy hair kit  is still in stock at the link in our bio! : @Em #livingproofinc  #holiday #giftideas,511,1,16,1,2022-09-27 15:13:32.018017,TikTok,2021
01GPKJANE82KZVCPXM5EY0GR4F,01GE2AVM9AFF89DAAX68TSZD33,Living Proof US,Millennial (25-34),FACE,0.93921,01GPKJANE7VGFM82BYEFKFB74Y,https://www.tiktok.com/@livingproofinc/video/7044576346558811398,j_l8kbvgtma8e10jk1q.ee3fc45376c2920891ed89611c17c10e3817b6fd.file_l8kc06cyx4jfu7t6t.S3_link_of_the_video.mp4,00:00:15,00:00:16,375,400,2021-12-22 17:14:06,livingproofinc,Last minute gift idea   our Joy to Healthy hair kit  is still in stock at the link in our bio! : @Em #livingproofinc  #holiday #giftideas,511,1,16,1,2022-09-27 15:13:32.018017,TikTok,2021
01GPKJAM760KVG86CNH1EA5MZ1,01GE2AVM9JEFGDJJCE9XPBYG60,Living Proof US,Gen Z (10-25),FACE,0.852184,01GPKJAM76GA99JNJ7Z5PV5295,https://www.tiktok.com/@livingproofinc/video/7042079388950727942,j_l8kbvgtma8e10jk1q.fff11446ccbda4f0a30630a2e9a6b31ac6be0db3.file_l8kc0ea21l18g5wahc.S3_link_of_the_video.mp4,00:00:16,00:00:24,400,600,2021-12-15 23:44:38,livingproofinc,Celebrating the #holidays the best way we know how: with healthy #hair @biancapaulin.e uses our Joy to Healthy Hair kit #livingproofinc #hairstyle,475,0,15,0,2022-09-27 15:13:32.474031,TikTok,2021
01GPKJB1KR5HFK3M98TX5WZWZM,01GE2AVM9NF9F8XDKHAGV51BGD,Living Proof US,Gen Z (10-25),FACE,0.894838,01GPKJB1KR7EWXG2ZSACPTWBPH,https://www.tiktok.com/@livingproofinc/video/7041254430578101510,j_l8kbvgtma8e10jk1q.17985f33e42ad4b4c0098a75a19d3254bb07e235.file_l8kc0afnu8mml2n1p.S3_link_of_the_video.mp4,00:00:02,00:00:02,50,75,2021-12-13 18:23:22,livingproofinc,Give the gift of healthy hair  @Skye uses our Joy to Strong Hair kit for her Mom + Me healthy hair routine  #livingproofinc #hairstyle,440,1,26,0,2022-09-27 15:13:32.598289,TikTok,2021
01GPKJB1KR61E5H6D2TR08XBY0,01GE2AVM9NF9F8XDKHAGV51BGD,Living Proof US,35-54,FACE,0.994176,01GPKJB1KRGF8W851HQRYDM8PZ,https://www.tiktok.com/@livingproofinc/video/7041254430578101510,j_l8kbvgtma8e10jk1q.17985f33e42ad4b4c0098a75a19d3254bb07e235.file_l8kc0afnu8mml2n1p.S3_link_of_the_video.mp4,00:00:00,00:00:01,0,25,2021-12-13 18:23:22,livingproofinc,Give the gift of healthy hair  @Skye uses our Joy to Strong Hair kit for her Mom + Me healthy hair routine  #livingproofinc #hairstyle,440,1,26,0,2022-09-27 15:13:32.598289,TikTok,2021
01GPKJB1KR820FB9A6RHAAGT0T,01GE2AVM9NF9F8XDKHAGV51BGD,Living Proof US,Millennial (25-34),FACE,0.977912,01GPKJB1KRT3EYS3D7W2TS6BSW,https://www.tiktok.com/@livingproofinc/video/7041254430578101510,j_l8kbvgtma8e10jk1q.17985f33e42ad4b4c0098a75a19d3254bb07e235.file_l8kc0afnu8mml2n1p.S3_link_of_the_video.mp4,00:00:01,00:00:01,25,25,2021-12-13 18:23:22,livingproofinc,Give the gift of healthy hair  @Skye uses our Joy to Strong Hair kit for her Mom + Me healthy hair routine  #livingproofinc #hairstyle,440,1,26,0,2022-09-27 15:13:32.598289,TikTok,2021
01GPKJB1KRXW50JC32BVB1BRE4,01GE2AVM9NF9F8XDKHAGV51BGD,Living Proof US,55+,FACE,0.913631,01GPKJB1KRJDQ8H08M1HZ3N10T,https://www.tiktok.com/@livingproofinc/video/7041254430578101510,j_l8kbvgtma8e10jk1q.17985f33e42ad4b4c0098a75a19d3254bb07e235.file_l8kc0afnu8mml2n1p.S3_link_of_the_video.mp4,00:00:02,00:00:05,50,150,2021-12-13 18:23:22,livingproofinc,Give the gift of healthy hair  @Skye uses our Joy to Strong Hair kit for her Mom + Me healthy hair routine  #livingproofinc #hairstyle,440,1,26,0,2022-09-27 15:13:32.598289,TikTok,2021
01GPKJAW86XQJ1KW4MFPGZ0E8N,01GE2AVM9TX777C9TNCZKR0WM2,Living Proof US,Millennial (25-34),FACE,0.858395,01GPKJAW8615FV2YA32EF9DSPN,https://www.tiktok.com/@livingproofinc/video/7040146173792947461,j_l8kbvgtma8e10jk1q.69ab7d6bf7cd5f7355f21ce71033fa813afcd70d.file_l8kbzw5a2qpi1ora4t.S3_link_of_the_video.mp4,00:00:07,00:00:09,175,225,2021-12-10 18:42:46,livingproofinc,3 easy go-to  #hairstyles by @maybeitswavybaby  using the Curl Enhancer + Moisturizing Shine Oil  #livingproofinc,566,0,22,0,2022-09-27 15:13:32.757733,TikTok,2021
01GPKJAZYVPRFTEKYV74S22F3Y,01GE2AVM9XTVYHDE55CX6HC8T6,Living Proof US,Gen Z (10-25),FACE,0.99613,01GPKJAZYVFFYRX0RTR3YGND2X,https://www.tiktok.com/@livingproofinc/video/7039750677580483846,j_l8kbvgtma8e10jk1q.13c2fa59f9061ed194ea8c31dbaf7d0e423fb480.file_l8kc0z337tk3xkpsx.S3_link_of_the_video.mp4,00:00:10,00:00:16,250,400,2021-12-09 17:08:02,livingproofinc,Follow these 3 steps from @simedarjackson to live out your curly girl dream using 3 #livingproofinc Curl products ,407,1,16,0,2022-09-27 15:13:32.877644,TikTok,2021
01GPKJAY7K7ZSAMS5YY4V0YNWR,01GE2AVM9Z52VNRFGZKJ9H8REC,Living Proof US,Gen Z (10-25),FACE,0.997899,01GPKJAY7K1C8RVK7C3R6GSMZ0,https://www.tiktok.com/@livingproofinc/video/7039346888470056198,j_l8kbvgtma8e10jk1q.e2753e40b5942a27d2e186820b40a20ab83ba835.file_l8kbzpvi29sz5sho2k.S3_link_of_the_video.mp4,00:00:00,00:00:23,0,575,2021-12-08 15:01:08,livingproofinc,"Don't just take it from us, take it from @Erin Dugan Jurchak   Shop Advanced Clean Dry Shampoo at the link in our bio   #dryshampoo #livingproofinc",443,1,27,0,2022-09-27 15:13:33.032249,TikTok,2021
01GPKJAY8PJEGDK4492CP9YZJ3,01GE2AVM9Z52VNRFGZKJ9H8REC,Living Proof US,Millennial (25-34),FACE,0.993301,01GPKJAY8PDGPDVFXMA7F9F9S2,https://www.tiktok.com/@livingproofinc/video/7039346888470056198,j_l8kbvgtma8e10jk1q.e2753e40b5942a27d2e186820b40a20ab83ba835.file_l8kbzpvi29sz5sho2k.S3_link_of_the_video.mp4,00:00:32,00:00:32,825,825,2021-12-08 15:01:08,livingproofinc,"Don't just take it from us, take it from @Erin Dugan Jurchak   Shop Advanced Clean Dry Shampoo at the link in our bio   #dryshampoo #livingproofinc",443,1,27,0,2022-09-27 15:13:33.032249,TikTok,2021
01GPKJAVWEGFFVYWVZMVS09JMH,01GE2AVMA2ZGV6YB2KRV4Z075D,Living Proof US,Millennial (25-34),FACE,0.999743,01GPKJAVWEBGC76Q3S0W3A22SQ,https://www.tiktok.com/@livingproofinc/video/7037572293459119406,j_l8kbvgtma8e10jk1q.a4a431c1eba8a3194114cfd45e86072f66a5a339.file_l8kbzqa1wxb6kin6t.S3_link_of_the_video.mp4,00:00:00,00:00:05,0,125,2021-12-03 20:14:49,livingproofinc,Need a gift idea? Look no further  Head over to @sephora to get our two limited edition holiday kits! #livingproofinc #sephora #holidayhair,429,0,20,0,2022-09-27 15:13:33.198819,TikTok,2021
01GPKJB6S6ZE3JHGD52MTEAR0C,01GE2AVMAHCHRTSGDJETZ93S0H,Living Proof US,Millennial (25-34),FACE,0.910599,01GPKJB6S6JDK6V1KC41B0MT78,https://www.tiktok.com/@livingproofinc/video/7031602227353603375,j_l8kbvgtma8e10jk1q.e7d4bbe0c40e4d6e5f6b9ef01016662348473276.file_l8kc18f120fjfkkpkk.S3_link_of_the_video.mp4,00:00:02,00:00:04,50,100,2021-11-17 18:07:55,livingproofinc,Go longer between washes with Advanced Clean #DryShampoo and thank us later  #hair #hairtutorial #hairstyle,601,1,22,0,2022-09-27 15:13:34.218172,TikTok,2021
01GPKJB2SPMSS9KZ74Z4ZR0DY8,01GE2AVMAPEP44DQ491CSQ0682,Living Proof US,Gen Z (10-25),FACE,0.922402,01GPKJB2SP96P7HSJNHS5CW2SB,https://www.tiktok.com/@livingproofinc/video/7029729746892311854,j_l8kbvgtma8e10jk1q.7e3bf557a1fefc4f43eac62fc4abdeff93f5e9c2.file_l8kc0yi22cjft9ml0c.S3_link_of_the_video.mp4,00:00:00,00:00:00,0,25,2021-11-12 17:01:50,livingproofinc,The #hair wants what the hair wants  #livingproofinc,466,0,32,0,2022-09-27 15:13:34.525953,TikTok,2021
