tag_id,asset_id,brand_name,tag_name,tag_type,confidence,detection_id,video_url,download_link,start_time_stamp,end_time_stamp,start_frame,end_frame,publication_date,title,description,views,comments,likes,shares,created_at,social_media,publication_year
01GPKJ3VNF886YC983DVA7486R,01GE2AVKNQXDRH9M9WHZX1C5GT,Living Proof US,middle eastern,FACE,0.862425,01GPKJ3VNFVD9Q8VTA4YYNWX41,https://www.tiktok.com/@livingproofinc/video/7146242762395143470,j_l8kbvgtma8e10jk1q.c593396268807bf24a341bfb83c0bd5d5e3b9f12.file_l8kc09jis4ng8omt7.S3_link_of_the_video.mp4,00:00:01,00:00:01,25,25,2022-09-22 16:32:11,livingproofinc,"Let our dry shampoo work as hard as your workout  Advanced Clean Dry Shampoo actually cleans hair by soaking up sweat, oil + odor while adding softness + shine for that freshly washed feel.   : @kelsey kooima  #livingproofinc #dryshampoo #hairrefresh #postworkout #hairroutine ",437,2,17,0,2022-09-27 15:12:53.657992,TikTok,2022
01GPKJ3VNFNYHDKDW2YA9DD29R,01GE2AVKNQXDRH9M9WHZX1C5GT,Living Proof US,white,FACE,0.870857,01GPKJ3VNFY3C4ZVA4Y2FR6ATE,https://www.tiktok.com/@livingproofinc/video/7146242762395143470,j_l8kbvgtma8e10jk1q.c593396268807bf24a341bfb83c0bd5d5e3b9f12.file_l8kc09jis4ng8omt7.S3_link_of_the_video.mp4,00:00:06,00:00:08,150,200,2022-09-22 16:32:11,livingproofinc,"Let our dry shampoo work as hard as your workout  Advanced Clean Dry Shampoo actually cleans hair by soaking up sweat, oil + odor while adding softness + shine for that freshly washed feel.   : @kelsey kooima  #livingproofinc #dryshampoo #hairrefresh #postworkout #hairroutine ",437,2,17,0,2022-09-27 15:12:53.657992,TikTok,2022
01GPKJ3W6S3Z2NRMV1535VM1DE,01GE2AVKP3R1RYN9H2TS8FZ9EE,Living Proof US,asian,FACE,0.904174,01GPKJ3W6STBF8ZVED3VA1KQ62,https://www.tiktok.com/@livingproofinc/video/7145452153644059946,j_l8kbvgtma8e10jk1q.e1289448f58902cf8af69a5a07dc8d415ddcb0da.file_l8kc1046108hw1hqi5.S3_link_of_the_video.mp4,00:00:13,00:00:16,325,400,2022-09-20 13:24:13,livingproofinc,"Enter for a chance to win $1,000 + the opportunity to be a part of Living Proofs next campaign! Show off your healthy hair transformation using Triple Bond Complex by tagging @livingproofinc and using the hashtag #LpDamageUndone.",65900,0,146,0,2022-09-27 15:12:54.028258,TikTok,2022
01GPKJ4NKS4E67E6QR7E12Q87C,01GE2AVKPRAMYHHS4J36689MP3,Living Proof US,latino,FACE,0.915866,01GPKJ4NKSJZK3T75S1HH7NVBE,https://www.tiktok.com/@livingproofinc/video/7141050608550808874,j_l8kbvgtma8e10jk1q.2bb79d836fb55878740b0e20c48baf8300185272.file_l8kc1t3j21tw8ao9ta.S3_link_of_the_video.mp4,00:00:01,00:00:06,25,150,2022-09-08 16:43:34,livingproofinc,Stop scrolling   + save this textured top knot by @michaelgrayhair  for later  Using all Lp. products.  MUA: @sashakeenemua.  Model: @katyasanchez #livingproofinc #hairtutorial #hairstyle,575,2,29,0,2022-09-27 15:12:55.112663,TikTok,2022
01GPKJ4NNG5T4KHS9FEBDVWGVY,01GE2AVKPRAMYHHS4J36689MP3,Living Proof US,indian,FACE,0.87712,01GPKJ4NNGNBMKJK0TEE1VMWY4,https://www.tiktok.com/@livingproofinc/video/7141050608550808874,j_l8kbvgtma8e10jk1q.2bb79d836fb55878740b0e20c48baf8300185272.file_l8kc1t3j21tw8ao9ta.S3_link_of_the_video.mp4,00:00:50,00:00:51,1250,1275,2022-09-08 16:43:34,livingproofinc,Stop scrolling   + save this textured top knot by @michaelgrayhair  for later  Using all Lp. products.  MUA: @sashakeenemua.  Model: @katyasanchez #livingproofinc #hairtutorial #hairstyle,575,2,29,0,2022-09-27 15:12:55.112663,TikTok,2022
01GPKJ3W7V84BWMBH4PVK1XNA4,01GE2AVKPZ8ZE7AJTNKR1V07ED,Living Proof US,middle eastern,FACE,0.855332,01GPKJ3W7VD7PRRX6DT6Z2QZ2W,https://www.tiktok.com/@livingproofinc/video/7140668942170787115,j_l8kbvgtma8e10jk1q.92150d42cae68d5464db0402bfeec0bb047948af.file_l8kc1xl72bqp0cvwfl.S3_link_of_the_video.mp4,00:00:01,00:00:01,50,50,2022-09-07 16:02:32,livingproofinc,Say goodbye to frizz  and hello to better hair days  with No Frizz Humidity Shield. : @Nat  #livingproofinc #hair #healthyhair #hairproducts #hairspray #nofrizz #humidityshield,442,1,28,0,2022-09-27 15:12:55.475761,TikTok,2022
01GPKJ40Z356SCZ7JF8PF77JQG,01GE2AVKRDERMX7YJ8CKEP9PKK,Living Proof US,white,FACE,0.882756,01GPKJ40Z32M4YFH5S2VDP3BJ7,https://www.tiktok.com/@livingproofinc/video/7138813444983246126,j_l8kbvgtma8e10jk1q.4e8c46ac36f87dec3c792edcb1dc32db19f43a78.file_l8kc2ken27wvi9ak5x.S3_link_of_the_video.mp4,00:00:03,00:00:06,75,150,2022-09-02 16:02:15,livingproofinc,"One simple step to refresh dull hair: Healthy Hair Perfector.   This enhancing treatment restores hairs surface to leave it softer + shinier, while helping to reduce the appearance of split ends. #livingproofinc #hair #healthyhair #hairproducts ",1038,0,20,0,2022-09-27 15:12:55.948061,TikTok,2022
01GPKJ4DN2B8BEEJR9KEPY7991,01GE2AVKSDAX9TA9H1JXNRW85Q,Living Proof US,latino,FACE,0.850372,01GPKJ4DN25CTHJBX0GVQA7W2D,https://www.tiktok.com/@livingproofinc/video/7137330389571423530,j_l8kbvgtma8e10jk1q.c477db6f2f6ac24376481ed11ae401ac8f71f812.file_l8kc2ls06gxa7vctl.S3_link_of_the_video.mp4,00:00:21,00:00:32,525,800,2022-08-29 16:07:14,livingproofinc,We're still obsessed with Megan Fox's iconic VMAs look from last year  The best part? You only need ONE product to achieve these long-lasting wet mermaid waves  No Frizz Vanishing Oil  @tinaprokas  is here to show you step by step how to achieve!  Would you wear this? #livingproofinc #VMAs #livingproofinc #meganfox #hairstyle #celebrityhairstyle #hairrecreation #hairhack,863,1,39,1,2022-09-27 15:12:56.593515,TikTok,2022
01GPKJ46M0HZBM804FMW33Q067,01GE2AVKST2N0TES0GC5CDA3CJ,Living Proof US,white,FACE,0.853275,01GPKJ46M0MFZGD6E3YBKPQ23R,https://www.tiktok.com/@livingproofinc/video/7144425158508285227,j_l8kbvgtma8e10jk1q.c0aa27585607d2d1d684914daac14005a424b62c.file_l8kc12l311hqnowh4p.S3_link_of_the_video.mp4,00:00:09,00:00:10,225,250,2022-09-17 18:58:41,livingproofinc,Self-care session  Triple Detox Shampoo + Triple Bond Complex is the perfect combo for an instant reset.   #livingproofinc #hairstrengthener #hairtreatment #healthyhair #hair #hairproducts,449,1,12,0,2022-09-27 15:12:54.309204,TikTok,2022
01GPKJ4FC33ZQ39F54T2FPQJ4K,01GE2AVKT31J726PWQZSJTC2PR,Living Proof US,latino,FACE,0.854373,01GPKJ4FC3VTM886SSVMHTKJ4Z,https://www.tiktok.com/@livingproofinc/video/7142908511847206190,j_l8kbvgtma8e10jk1q.7f0a496a1a609f0891a221bbd9e1a0dca6aab0eb.file_l8kc1e9x1frjuubbg3.S3_link_of_the_video.mp4,00:00:19,00:00:23,475,575,2022-09-13 16:53:20,livingproofinc,"Get ready w/ @Lucelys_A: Triple Bond Complex edition  Triple Bond Complex is a weekly bond-building treatment that makes hair 8x stronger* + more resistant to future damage while adding softness, smoothness + shine. #livingproofinc #bondbuilder #hairtreatment #hairstrengthener #hairproducts #healthyhair #hair",417,0,15,0,2022-09-27 15:12:54.703283,TikTok,2022
