,brand_name,entropy_21,entropy_22,asset_id_22,asset_id_21
0,Herbal Essences Hair,47,46,5,8
1,Aussie Hair US,45,51,32,5
2,Kenra US,69,54,24,12
3,Head & Shoulders US,86,60,22,6
4,Pantene US,60,61,34,14
5,Native US,77,62,19,8
6,Living Proof US,63,62,75,24
7,Briogeo US,56,63,92,51
8,Clairol US,64,63,57,5
9,Moroccanoil,63,65,52,38
10,Dove Hair US,45,66,14,5
11,Amika US,62,68,22,45
12,Elvive,59,68,8,11
13,OLAPLEX US,66,70,117,91
14,Wella US,72,71,35,20
15,Fanola US,67,72,11,28
16,Paul Mitchell US,71,77,20,27
