,brand_name,likes,shares,comments,views,entropy_21,entropy_22,engagement_rate,engagement_rate_normalized,zscore
0,Herbal Essences Hair,715,20,18,45766,47,46,0.016453262247082986,0.07992335501548861,-0.5685117951599753
1,Aussie Hair US,289607,1029,421,51306924,45,51,0.005672860060759051,0.011834047821375853,-0.8658044446802692
2,Kenra US,128195,1121,295,3093011,69,54,0.04190447431321777,0.24067388796239433,0.13335981759329693
3,Dry bar US,20675,592,225,697979,66,56,0.030791757345135024,0.17048567176013488,-0.17309712285383866
4,Head & Shoulders US,6956,146,199,195038,86,60,0.03743373086270368,0.21243655331320127,0.010069504044980427
5,Pantene US,86368,2204,623,1399292,60,61,0.06374295000614597,0.3786062818014039,0.735602497228336
6,Native US,5620,84,343,148231,77,62,0.04079443571182816,0.23366285460565894,0.10274812879233873
7,Living Proof US,1757259,3255,408,31820171,63,62,0.05533980317076234,0.32553178268878985,0.5038677489488618
8,Briogeo US,173111,1589,2389,10417048,56,63,0.016999921666867618,0.08337607046347911,-0.5534364923573423
9,Clairol US,1495,47,43,123532,64,63,0.012830683547582813,0.057043051512709345,-0.6684121514784466
10,Moroccanoil,46146,1513,903,4048179,63,65,0.011996011045954243,0.05177123777259082,-0.6914300310716294
11,Dove Hair US,652573,1482,516,120145712,45,66,0.00544814283509344,0.010414727841870336,-0.8720015028471464
12,Amika US,42650,874,1147,939433,62,68,0.04755102279779399,0.2763376385078519,0.28907546999762407
13,L'Oreal Paris Hair US,155102,920,155,41107798,59,68,0.0037992061749452014,0.0,-0.9174744583189288
14,OLAPLEX US,1730930,22530,4478,49329730,66,70,0.035636481286234485,0.20108507714360682,-0.03949349733502187
15,Wella US,199269,5411,1003,7777872,72,71,0.02644463678497152,0.1430291425773634,-0.29297827077192423
16,Fanola US,18802,255,0,364597,67,72,0.052268669243027234,0.30613441904450045,0.41917466174973067
17,Paul Mitchell US,662625,2585,790,4107901,71,77,0.16212659457956752,1.0,3.448741938519353
